name,source,gender,wikidata,type
"Äigrumäe tee",wikidata,,Q2192129,relation+way
"Juhan Kunderi põik",wikidata,,Q12365487,relation
"Kalevipoja põik",wikidata,,Q3812585,relation
Kannustiiva,wikidata,,Q922808,way
"Katariina käik",wikidata,,Q3860574,relation
Kedriku,wikidata,,Q857997,way
Kirilase,wikidata,,Q865624,way
Kuldtiiva,wikidata,,Q258719,way
Lumiku,wikidata,,Q1064168,way
Merikanni,wikidata,,Q21036,way
Öölase,wikidata,,Q459180,way
"Päevakoera tänav",wikidata,,Q776603,relation
"Piksepeni tänav",wikidata,,Q2934200,relation
Rapla,wikidata,,Q215971,way
Sirptiiva,wikidata,,Q5306943,way
Sügislase,wikidata,,Q6521398,way
Suru,wikidata,,Q157683,way
Taevastiiva,wikidata,,Q1084480,way
Täpiku,wikidata,,Q286622,way
"Udeselja tänav",wikidata,,Q7706097,relation
Uneliblika,wikidata,,Q1544777,way
Vaksiku,wikidata,,Q45559,way
"3. liin",,,,way
"4. liin",,,,relation
"5. liin",,,,way
"A. H. Tammsaare",,,,relation
Aarde,,,,way
Ääre,,,,way
"Aasa tänav",,,,relation
Ääsi,,,,way
"Ääsi tänav",,,,relation
Aaslina,,,,way
Aate,,,,way
Abaja,,,,way
Abara,,,,way
"Ädala tänav",,,,relation
Admiralisild,,,,way
Adra,,,,way
Aedvere,,,,way
"Aedvilja tänav",,,,relation
"Aegna pst",,,,way
"Ahingu tänav",,,,relation
Ahju,,,,way
Ahtri,,,,way
"Ahtri tänav",,,,relation
"Ahvena tänav",,,,relation
"Aia tänav",,,,relation
"Aia tee",,,,way
"Aiandi tänav",,,,relation
"Aianduse tee",,,,relation
Aida,,,,way
"Akadeemia tee",,,,relation+way
"Akadeemikute allee",,,,way
Äkke,,,,way
"Alajaama tänav",,,,relation
"Alasi tänav",,,,relation
Alemaa,,,,way
Alevi,,,,way
"Algi põik",,,,relation
"Algi tänav",,,,relation
All-linn,,,,relation
"Allika tänav",,,,relation
"Alliksaare tee",,,,way
Alliksoo,,,,way
"Alliksoo põik",,,,way
"Allveelaeva tänav",,,,relation
Alvari,,,,way
Amburi,,,,way
"Andrekse tee",,,,way
"Angerja tänav",,,,relation
Angerpisti,,,,way
"Ankru tänav",,,,relation
"Anni tänav",,,,relation
Ao,,,,way
"Apollo plats",,,,way
Apteegi,,,,way
"Arbu tänav",,,,relation
Armatuuri,,,,way
"Arnika tee",,,,way
"Artelli tänav",,,,relation
Aru,,,,way
"Arukaskede pst",,,,way
"Asfaldi tänav",,,,relation
Astangu,,,,way
"Astangu Laskemoonalaod",,,,way
"Astangu tänav",,,,relation
"Astla tee",,,,way
Astri,,,,way
Asula,,,,way
"Asula põik",,,,way
"Asunduse tänav",,,,relation
Auli,,,,way
Auna,,,,way
"Auru tänav",,,,relation
"Balti jaama tunnel",,,,way
"Bastioni käigud",,,,way
Beetapromenaad,,,,way
Bensiini,,,,way
"Betooni tänav",,,,relation
"Börsi käik",,,,relation
"Bremeni käik",,,,relation
"Business Lounge",,,,way
"Dunkri tänav",,,,relation
Edela,,,,way
Edu,,,,way
"Eduard Viiralti",,,,way
"Eerikneeme tee",,,,relation
Eevardi,,,,way
Eha,,,,way
"Ehitajate tee",,,,relation+way
Ehte,,,,way
Elektri,,,,way
"Elektroni tänav",,,,relation
Endla,,,,way
"Endla tänav",,,,relation
Energia,,,,way
"Erika tänav",,,,relation
"Esku tänav",,,,relation
"Estonia puiestee",,,,relation
Filmi,,,,way
"Filtri tee",,,,relation
"Forelli tänav",,,,relation
"Gaasi tänav",,,,relation
Gildi,,,,way
"Gildi tänav",,,,relation
Gonsiori,,,,way
Graniidi,,,,way
Gümnaasiumi,,,,way
Haabersti,,,,way
"Haabersti ring",,,,way
Haava,,,,way
"Haava tänav",,,,relation
"Haaviku põik",,,,way
"Haaviku tee",,,,way
Hagudi,,,,way
Haigru,,,,way
Häilu,,,,way
Haki,,,,way
Haldja,,,,way
"Haljas tee",,,,relation
Halla,,,,way
Hälli,,,,way
"Hälli põik",,,,way
Hallikivi,,,,way
Halsi,,,,way
Halu,,,,way
"Hämar tee",,,,way
Hämariku,,,,way
"Hane tänav",,,,relation
Hange,,,,way
Hanijala,,,,way
"Hansu tänav",,,,relation
Hao,,,,way
Haraka,,,,way
Hargi,,,,way
Härgmäe,,,,way
Hariduse,,,,way
Härjapea,,,,way
"Harju tänav",,,,relation
Harksaba,,,,way
"Harku tänav",,,,relation
"Harkumetsa tee",,,,relation
Härmatise,,,,way
Harusambla,,,,way
Hauka,,,,way
"Havi tänav",,,,relation
"Heina tänav",,,,relation
Heinamaa,,,,way
Heinavälja,,,,way
"Heki tee",,,,relation
Helbe,,,,way
"Heli tänav",,,,relation
"Helme tänav",,,,relation
"Helmiku põik",,,,way
"Helmiku tee",,,,relation
Herilase,,,,way
"Herne tänav",,,,relation
Hiidtamme,,,,way
Hiie,,,,way
"Hiie põik",,,,way
"Hiiela tee",,,,way
Hiiepuu,,,,way
"Hiiu tänav",,,,relation
"Hiiu-Maleva tänav",,,,relation
"Hiiu-Suurtüki tänav",,,,relation
"Hipodroomi tänav",,,,relation
Hirve,,,,way
"Hirve põik",,,,way
Hõbeda,,,,way
"Hõbekuuse tee",,,,relation
Hõberebase,,,,way
Hobujaama,,,,way
"Hobujaama tänav",,,,relation
Hoburaua,,,,way
Hobusepea,,,,way
Hõimu,,,,way
"Hommiku tänav",,,,relation
Hoo,,,,way
"Hooldekodu tee",,,,relation
Hospidali,,,,way
"Humala tänav",,,,relation
Hundipea,,,,way
"Hunditubaka tee",,,,relation
"Hüübi tänav",,,,relation
"Ida tee",,,,relation
Idakaare,,,,way
"Idakaare põik",,,,way
